Patient_ID,ATP5F1B,CAPZB,CAT,CCDC124,CCT3,CCT7,CCT8,CDC73,CHD4,COPA,COPB1,COPG1,CORO1B,CPSF6,CS,DARS1,DDOST,DDX17,DHX9,DYNC1H1,EEF2,EFTUD2,EIF3A,EIF3F,EIF3I,EIF3L,ELAVL1,HBB,HDLBP,HNRNPK,HNRNPR,HNRNPUL2,HSPA9,IARS1,ILF2,ILF3,MAP4,MAT2B,MATR3,PABPC1,PCBP2,PPP1CC,PPP2R1A,PRKDC,PSMA2,PSMA3,PSMA6,PSMB3,PSMC2,PSMD11,PSMD12,PSMD2,PSMD3,PTBP1,RARS1,RBM39,RPL10,RPL12,RPL13,RPL14,RPL18,RPL24,RPL4,RPL6,RPL7,RPN1,RPN2,RPS12,RPS13,RPS19,RPS5,RPS7,RPSA,SARNP,SEC22B,SF3A1,SF3B1,SFPQ,SNX2,SRP14,STIP1,TCERG1,TUBA1B,TUBB4B,TUFM,UQCRFS1,USP14,XRCC5,XRCC6,YWHAE
292807,-0.465611911,-0.134931694,-1.196964265,0.049041728,-0.567768223,-0.324039505,-0.587904404,-0.132719255,-0.289027951,-0.38354293,-0.095187558,-0.183218251,-0.858172137,0.113769559,-1.077308026,-0.287552104,-0.091491548,-0.399501815,-0.279686835,-0.034852227,-0.113070335,-0.756161726,-0.635584403,-0.486871267,-0.533763214,-0.631020371,-0.267646952,-1.090479365,0.253069496,-0.459096867,-0.323017149,-0.113859934,-0.402003765,0.044896366,-0.184931152,-0.185689504,0.376102131,-0.384378602,-0.130950221,-0.309861317,-0.406984171,-0.159172552,-0.073660336,-0.31946308,-0.240181105,-0.729909518,-0.399947311,-0.546307851,-0.451485427,-0.39341355,-0.712708405,-0.490157167,-0.681124915,-0.196089977,-0.100402447,-0.471566909,0.1656821,-0.06178227,-0.02027019,-0.009523853,0.07241237,0.097434276,0.071644977,-0.051374073,-0.096240586,-0.186533985,-0.283262459,0.11968557,0.009030596,0.202356178,-0.064518515,-0.051964014,0.047820019,-0.040104518,-0.33937893,-0.237570137,-0.403574799,-0.258763964,-0.318647167,0.019700236,-0.560169722,0.102131878,0.003262199,-0.103632201,-0.378518849,-0.223428238,-0.665185339,-0.364663025,-0.451601784,-0.688985762
285637,-0.523898956,-0.548062204,-1.060012784,-0.522794668,-1.014448635,-0.82660136,-0.949887208,-0.031937812,-0.291149673,-1.150305438,-0.55065819,-0.934858118,0.184998287,-0.03927947,-1.401599907,-0.878859576,-0.803816925,-0.57063032,-0.617127615,-1.009814216,-0.873223409,-0.768192044,-0.935124584,-0.96756328,-0.362099592,-0.790584104,-1.16430125,-0.649859091,-1.009491822,-0.917208352,-0.725864947,-1.087574401,-0.626563021,-0.646622986,-0.236163589,-0.157976006,-0.544912275,-0.34179966,-1.033513666,-1.12135699,-1.174193136,-0.832240142,-0.94444194,-0.561918698,-0.102392523,-0.574605895,-0.21561404,-0.606889441,-0.4644212,-0.624109235,-1.02546755,-0.59808742,-1.041823436,-0.932445184,-1.055018021,-0.29847658,-1.144371647,-1.121787588,-0.623377148,-1.368682336,-0.412603355,-0.749899037,-0.624792911,-0.927831623,-1.128997578,-0.816597905,-0.941250898,-0.695697821,-0.545981868,-0.389779836,-1.260276223,-0.931041167,-0.882884112,-0.188132713,-0.75955519,-0.818376147,-0.508679521,-0.700022645,0.613070655,-0.613078406,-0.895310668,-0.171758846,-0.438972789,-0.362689503,-0.819389832,-1.095742908,-0.791118986,-0.724075346,-0.867779063,-0.395455229
284974,0.838594936,0.638955719,0.242563859,0.399732232,0.617318221,0.900894185,1.003478207,0.551947063,0.842238198,1.039103836,1.019498407,0.710846468,0.494381121,0.866315012,0.872230497,0.966040505,1.159439899,0.163664882,0.726643854,0.72327869,1.309795621,0.852078734,1.180218216,0.876720877,1.026361481,0.904625076,0.638010451,0.072024197,1.483070632,0.907111061,0.601732538,0.909806828,0.881852188,1.047272579,0.912835499,0.706524952,0.831752842,0.718538589,0.655182055,0.683085383,0.886642522,1.274209894,0.852528707,0.166316447,0.912770657,0.867415901,0.56731065,0.751206974,0.616656051,0.021142036,1.086104804,0.18424955,0.809770373,0.950985586,1.314334579,0.817473803,1.046383033,0.981888025,0.936940261,1.089880917,0.874331464,1.049940439,1.082325264,1.194886145,0.638554693,1.285382831,1.298927203,1.036616144,0.944780802,0.466471795,0.907527695,1.268745662,1.261865247,0.757677238,0.918285808,0.865041561,0.144901305,0.472290145,0.069979009,0.971863466,0.987741023,0.758194553,0.92747911,0.834890279,0.800767576,0.707031723,1.458416061,0.87576658,0.761833494,1.077609377
283335,-0.449191541,-1.008604577,-0.817713517,-0.525839102,-1.420691412,-1.046649178,-1.667906594,-0.716805324,-0.714848246,-1.071840828,-0.549816231,-0.885308326,-0.963178121,-3.851332563,-0.316416137,-1.029440866,-1.011016346,-0.611620159,-1.091651686,-0.834263117,-0.953172824,-0.870747481,-0.886637813,-0.940095277,-0.98481657,-1.142257554,-1.443475626,-0.099435397,-0.696856247,-1.085130411,-0.810424057,-1.339719284,-0.465384297,-0.555278145,-0.490077867,-0.54794427,-1.196570659,-0.615269782,-1.17532524,-1.212605405,-1.035216727,-1.085477799,-1.349536621,-0.649209906,-0.611242744,-1.355364031,-0.751263711,-1.384479111,-0.808766601,-0.913179358,-1.567048679,-0.84837429,-1.346730073,-1.219301325,-1.364408698,-0.703119166,-0.809690247,-1.037481568,-0.90943917,-1.030983668,-0.747815212,-0.778289466,-0.639789906,-0.850333225,-1.287373728,-0.762345971,-0.900303113,-0.867185319,-0.626980613,-0.851054433,-1.109983848,-1.317218961,-0.949626624,-0.276645407,-1.375041501,-0.718071353,-0.537088983,-0.867007595,-0.776199278,-0.967934031,-1.425759768,-0.531198806,-0.395513418,-0.259460194,-0.403627115,-0.885694561,-1.083115212,-1.055804025,-1.091395311,-0.841492278
288996,-0.02395334,-0.588081014,0.862325359,-4.609174082,-0.361070192,-0.331280063,-0.313269361,-0.299808783,-0.172839114,0.157167037,0.323731766,-0.072657965,-1.39948345,-0.853645282,-0.4609987,-0.165841488,0.321820811,-0.317314781,0.099381409,-0.3111232,-0.151684951,0.070742183,-0.774558317,-0.381375385,-0.176614844,-0.43692831,-0.708784181,0.73709202,0.056886339,-0.682007984,-0.692229888,-0.2822357,-0.197981664,0.333858292,-0.833244797,-1.30378298,-2.829425061,-0.609380909,-0.359585398,-1.065340646,-0.11935747,-0.496185718,-0.724943078,-0.173695852,-1.910719889,-2.090716292,-1.841010142,-2.067456235,-0.073309212,-0.151736174,0.311452222,-0.20322388,0.115070646,-0.85249424,-0.114621689,-0.55733042,-0.274860657,-0.288036265,-1.901282886,-0.73866904,-0.886975807,-1.784550369,-1.494363644,-0.959754202,-1.192910676,0.18872122,0.205569098,-0.18897497,-1.258005933,-2.501790468,-1.2139608,-1.057298621,-0.16652498,-4.504420355,-0.305217735,-1.635380821,-0.307142819,-0.618275672,-0.962053961,-2.196331519,-1.919929567,-0.32806944,0.118706358,0.078822924,-0.07384083,-0.231077129,-0.206003622,-0.191457665,-0.48520876,-1.260280722
289744,0.880725896,0.58295873,0.279923148,0.781705458,1.00448686,1.331164752,1.758828929,0.993250457,1.164886656,0.347230064,0.596557499,0.102999075,-0.085597269,1.03227125,1.013347385,1.045284382,0.699638097,0.355916689,1.292535178,0.776389113,1.54946456,1.298664754,0.678527729,1.028756459,1.041139277,0.791187069,1.288985226,0.153923986,0.323631125,1.319547343,0.958261784,0.815854576,1.360246275,1.165178266,1.193313773,1.179948012,0.480834431,0.978399112,1.573432921,1.232104347,1.051741373,0.985882854,0.986148269,0.524118771,0.644768094,0.705595425,0.717193719,0.532378306,0.728000452,0.129880831,1.043175877,0.216469502,0.967258856,1.040332602,1.2402757,1.526454421,1.024183817,1.180355861,1.05231698,1.229424816,0.986917855,1.114294187,1.040551619,1.320980986,1.009758208,0.607868941,0.506076406,1.228360803,1.015889352,1.052947286,1.109626271,1.296812449,1.181655825,0.753739834,0.605917812,1.495597075,0.319727244,0.624294664,-0.17118412,1.13493704,0.415865733,1.085821271,0.6071594,0.564722092,1.120551435,0.795820598,0.914408654,0.959685855,0.910779508,0.831275966
292507,-0.824231936,-0.057544493,1.711149384,-0.355462868,-0.584998655,-0.162752943,-0.489440536,-0.830555994,-1.05128697,-1.272814221,-1.044504512,-0.983802085,-1.107246527,-0.802919442,-1.259026464,-1.124843073,-0.976139086,-0.573079231,-0.834013185,-0.844546425,-0.856996281,-1.188552785,-1.367058103,-1.630417011,-1.051897759,-1.589872535,-0.711215575,1.228890168,-1.050194789,-0.833133585,-1.083291746,-0.431517322,-0.887257453,-1.169471183,-0.827839562,-0.701391776,-0.340760008,-0.981559133,-0.609176866,-1.005899905,-0.703627996,-0.547023669,-0.355988347,-0.743223808,-0.723780516,-0.549077276,-0.789802202,-0.634342634,-0.329030642,-0.404873713,-0.954718943,-0.414424841,-0.825603284,-0.772108683,-1.368086132,-1.324017068,-0.384001172,-0.746857646,-0.676011405,-0.653509307,-0.439021666,-0.54920084,-0.403227677,-0.821449436,-0.694719374,-1.029766426,-1.462587243,-0.582844331,-0.733255978,-0.36761057,-0.461462784,-1.0969003,-0.779831936,-0.344670542,-0.709307803,-1.236527787,-0.757697002,-0.770277436,-0.451546885,-0.720636427,-0.41511227,-1.105146431,-0.32809913,-0.452137769,-1.136707439,-1.167832623,0.221515376,-1.311538442,-1.51711129,-0.42543234
286858,0.491481195,0.442719964,-0.905624435,0.449461307,0.097459452,0.586372862,0.163391693,0.220759607,0.058542594,-0.553516511,-0.256516153,-0.395982964,0.961432342,0.411252411,1.333868259,-0.456845091,-0.479400607,-0.267079355,-0.007202087,0.744140657,0.202262928,0.002034349,-0.02365422,-0.0540459,0.351131301,-0.053237158,0.232688096,-0.765576611,-1.16297371,-0.391495865,-0.265320574,0.377505432,1.374732489,0.020611148,-0.197208289,0.180965393,0.47971544,0.139933856,0.22020754,0.14586623,0.210572802,0.57104748,0.764614053,-0.219523161,0.633698112,0.90056455,1.032757105,0.89589486,0.45099829,0.207149953,0.517021474,0.031673715,0.712872525,-0.35260142,0.668163639,-0.160216883,0.038810889,-0.159229211,-0.237802249,-0.068292558,-0.078516897,0.064390083,0.038766513,-0.15756604,-0.145528515,-0.695444426,-0.642691848,0.242661111,-0.105738515,0.376043516,0.398846709,-0.484203292,-0.579532846,0.295991952,0.313839658,0.028797768,-0.324552013,-0.293979418,0.270921005,-0.023098983,1.089373398,0.287130587,-0.140785016,0.011062901,0.208614445,1.005597142,0.62676265,-0.339664333,-0.420667782,0.441122319
289008,0.173187767,0.0556068,-1.262738664,0.115828988,-0.162564008,0.060869212,-0.175415745,-0.027147015,0.167645276,-0.244035614,0.218186865,-0.173379107,0.712451205,0.357990721,-0.596977602,-0.112987021,-0.049686748,-0.155602656,0.255590408,0.13123513,-0.215070747,0.131939671,-0.053466988,0.151800903,0.361519111,0.152028173,-0.003985495,-1.005991604,-0.107268337,0.252778867,0.165815902,-0.619966116,0.208525589,-0.240058214,0.506303029,0.43588263,0.15463643,0.752804683,-0.202678234,-0.138371473,-0.271928785,-0.347495688,-0.35480415,-0.072835677,0.437580926,-0.132767692,-0.106921313,0.029454534,0.243068698,-0.25072465,0.015452829,-0.198555805,0.310937914,0.412564674,0.154528697,0.294491949,-0.39674386,-0.666671207,0.254302442,-0.345770804,0.184895285,-0.057951212,-0.133278035,0.100878454,-0.404817606,-0.051994438,0.334632999,-0.144399758,-0.039067699,-0.152212437,-0.495933262,-0.095130052,-0.005395803,0.247840722,0.15092218,0.252875584,-0.001964944,-0.09769034,0.791315187,0.136344536,-0.293563456,0.430004873,0.004857797,0.213963615,-0.150610098,-0.16396384,-0.439069098,0.165400502,-0.003709937,0.062022928
280975,0.544997764,1.175805555,0.213464536,0.972874063,0.85241629,1.214603662,1.486508879,1.207212255,1.547261113,0.698510011,0.674635524,0.560719468,0.907950031,1.200724874,0.809855527,0.68407263,0.907759592,0.301227935,1.172976979,1.055849912,1.326376439,1.362030202,1.229966781,1.188294986,1.371877002,1.207091956,1.353244981,0.140382606,0.81102228,1.342047494,0.968456139,1.138530648,1.143599799,0.86202276,0.963956923,1.060896214,0.703572591,1.127797384,1.527520806,1.43546248,1.367664534,1.360570352,1.423344935,0.460999469,0.951063434,1.290426588,1.211168107,1.260332649,0.846761312,0.459113459,1.64460423,0.461472551,1.427445968,1.357819341,1.449401623,1.384366662,1.166611337,1.250770409,1.339587838,1.296882913,1.104632167,1.270762834,1.228930386,1.269643609,1.096077956,0.881219639,0.858922805,1.085815396,1.202691346,1.634668787,1.485613338,1.43056217,1.120719598,0.963080653,1.315737381,1.738617106,0.387965953,0.667912109,0.560201516,1.360898338,1.304824189,1.300277987,0.675643923,0.748731079,1.547284501,1.077653597,1.142586541,1.33579625,1.301393008,1.214455353
